gd, mm, dd, it, volume, hist_volume, weather
0,9,19,6,7,13 6 9 10 14 10,100.82 101.32 41.125 2.8 22.2 76.0 0.0
1,9,19,6,7,140 56 31 4 14 7,100.82 101.32 41.125 2.8 22.2 76.0 0.0
2,9,19,6,14,2 1 1 1 2 2,100.82 101.32 41.125 2.8 22.2 76.0 0.0
3,9,19,6,11,17 16 16 17 17 11,100.82 101.32 41.125 2.8 22.2 76.0 0.0
4,9,19,6,5,181 112 93 4 5 4,100.82 101.32 41.125 2.8 22.2 76.0 0.0
0,9,19,7,10,6 9 10 14 10 7,100.82 101.32 41.125 2.8 22.2 76.0 0.0
1,9,19,7,7,56 31 4 14 7 7,100.82 101.32 41.125 2.8 22.2 76.0 0.0
2,9,19,7,14,1 1 1 2 2 14,100.82 101.32 41.125 2.8 22.2 76.0 0.0
3,9,19,7,14,16 16 17 17 11 11,100.82 101.32 41.125 2.8 22.2 76.0 0.0
4,9,19,7,4,112 93 4 5 4 5,100.82 101.32 41.125 2.8 22.2 76.0 0.0
0,9,19,8,6,9 10 14 10 7 10,100.82 101.32 41.125 2.8 22.2 76.0 0.0
1,9,19,8,10,31 4 14 7 7 7,100.82 101.32 41.125 2.8 22.2 76.0 0.0
2,9,19,8,14,1 1 2 2 14 14,100.82 101.32 41.125 2.8 22.2 76.0 0.0
3,9,19,8,18,16 17 17 11 11 14,100.82 101.32 41.125 2.8 22.2 76.0 0.0
4,9,19,8,5,93 4 5 4 5 4,100.82 101.32 41.125 2.8 22.2 76.0 0.0
0,9,19,9,9,10 14 10 7 10 6,100.83 101.33 1.875 4.5 24.4 67.0 0.0
1,9,19,9,10,4 14 7 7 7 10,100.83 101.33 1.875 4.5 24.4 67.0 0.0
2,9,19,9,14,1 2 2 14 14 14,100.83 101.33 1.875 4.5 24.4 67.0 0.0
3,9,19,9,10,17 17 11 11 14 18,100.83 101.33 1.875 4.5 24.4 67.0 0.0
4,9,19,9,5,4 5 4 5 4 5,100.83 101.33 1.875 4.5 24.4 67.0 0.0
0,9,19,10,4,14 10 7 10 6 9,100.83 101.33 1.875 4.5 24.4 67.0 0.0
1,9,19,10,14,14 7 7 7 10 10,100.83 101.33 1.875 4.5 24.4 67.0 0.0
2,9,19,10,14,2 2 14 14 14 14,100.83 101.33 1.875 4.5 24.4 67.0 0.0
3,9,19,10,10,17 11 11 14 18 10,100.83 101.33 1.875 4.5 24.4 67.0 0.0
4,9,19,10,3,5 4 5 4 5 5,100.83 101.33 1.875 4.5 24.4 67.0 0.0
0,9,19,11,9,10 7 10 6 9 4,100.83 101.33 1.875 4.5 24.4 67.0 0.0
1,9,19,11,20,7 7 7 10 10 14,100.83 101.33 1.875 4.5 24.4 67.0 0.0
2,9,19,11,14,2 14 14 14 14 14,100.83 101.33 1.875 4.5 24.4 67.0 0.0
3,9,19,11,9,11 11 14 18 10 10,100.83 101.33 1.875 4.5 24.4 67.0 0.0
4,9,19,11,10,4 5 4 5 5 3,100.83 101.33 1.875 4.5 24.4 67.0 0.0
0,9,19,12,10,7 10 6 9 4 9,100.83 101.33 1.875 4.5 24.4 67.0 0.0
1,9,19,12,18,7 7 10 10 14 20,100.83 101.33 1.875 4.5 24.4 67.0 0.0
