gd, mm, dd, itv, volume
1,9,19,0,13
1,9,19,1,6
1,9,19,2,9
1,9,19,3,10
1,9,19,4,14
1,9,19,5,10
1,9,19,6,7
1,9,19,7,10
1,9,19,8,6
1,9,19,9,9
1,9,19,10,4
1,9,19,11,9
1,9,19,12,10
1,9,19,13,13
1,9,19,14,12
1,9,19,15,2
1,9,19,16,8
1,9,19,17,13
1,9,19,18,8
1,9,19,19,13
1,9,19,20,32
1,9,19,21,39
1,9,19,22,31
1,9,19,23,43
1,9,19,24,46
1,9,19,25,56
1,9,19,26,41
1,9,19,27,50
1,9,19,28,49
1,9,19,29,44
1,9,19,30,44
1,9,19,31,44
1,9,19,32,44
1,9,19,33,39
1,9,19,34,30
1,9,19,35,34
1,9,19,36,45
1,9,19,37,44
1,9,19,38,53
1,9,19,39,57
1,9,19,40,61
1,9,19,41,53
1,9,19,42,55
1,9,19,43,52
1,9,19,44,52
1,9,19,45,48
1,9,19,46,57
1,9,19,47,43
1,9,19,48,42
1,9,19,49,46
1,9,19,50,55
1,9,19,51,36
1,9,19,52,34
1,9,19,53,24
1,9,19,54,29
1,9,19,55,27
1,9,19,56,18
1,9,19,57,13
1,9,19,58,22
1,9,19,59,27
1,9,19,60,17
1,9,19,61,16
1,9,19,62,17
1,9,19,63,17
1,9,19,64,22
1,9,19,65,5
1,9,19,66,4
1,9,19,67,9
1,9,19,68,3
1,9,19,69,1
1,9,19,70,7
1,9,19,71,6
1,9,20,0,14
1,9,20,1,13
1,9,20,2,7
1,9,20,3,6
1,9,20,4,5
1,9,20,5,5
1,9,20,6,6
1,9,20,7,9
1,9,20,8,7
1,9,20,9,10
1,9,20,10,8
1,9,20,11,5
1,9,20,12,11
1,9,20,13,8
1,9,20,14,15
1,9,20,15,9
1,9,20,16,4
1,9,20,17,10
1,9,20,18,13
1,9,20,19,20
1,9,20,20,29
1,9,20,21,38
1,9,20,22,30
1,9,20,23,31
1,9,20,24,53
1,9,20,25,50
1,9,20,26,45
1,9,20,27,51
1,9,20,28,68
1,9,20,29,59
1,9,20,30,56
1,9,20,31,60
1,9,20,32,63
