"tollgate_id","time_window","direction","volume","has_etc","car_model"
"1","(2016-09-19 00:00:00,2016-09-19 00:20:00)","1","140","33","[0, 125, 7, 2, 2, 0, 0, 4]"
"1","(2016-09-19 00:00:00,2016-09-19 00:20:00)","0","13","4","[0, 10, 1, 0, 0, 2, 0, 0]"
"3","(2016-09-19 00:00:00,2016-09-19 00:20:00)","1","181","46","[0, 162, 6, 4, 5, 2, 0, 2]"
"3","(2016-09-19 00:00:00,2016-09-19 00:20:00)","0","17","0","[0, 11, 0, 2, 0, 3, 0, 1]"
"2","(2016-09-19 00:00:00,2016-09-19 00:20:00)","0","2","0","[0, 1, 1, 0, 0, 0, 0, 0]"
"1","(2016-09-19 00:20:00,2016-09-19 00:40:00)","1","56","10","[0, 41, 5, 1, 6, 1, 0, 2]"
"1","(2016-09-19 00:20:00,2016-09-19 00:40:00)","0","6","1","[0, 6, 0, 0, 0, 0, 0, 0]"
"3","(2016-09-19 00:20:00,2016-09-19 00:40:00)","1","112","35","[0, 92, 13, 2, 3, 1, 0, 1]"
"3","(2016-09-19 00:20:00,2016-09-19 00:40:00)","0","16","1","[0, 14, 1, 1, 0, 0, 0, 0]"
"1","(2016-09-19 00:40:00,2016-09-19 01:00:00)","1","31","5","[0, 20, 8, 2, 1, 0, 0, 0]"
"1","(2016-09-19 00:40:00,2016-09-19 01:00:00)","0","9","1","[0, 6, 1, 0, 1, 1, 0, 0]"
"3","(2016-09-19 00:40:00,2016-09-19 01:00:00)","1","93","25","[0, 73, 8, 7, 3, 1, 0, 1]"
"3","(2016-09-19 00:40:00,2016-09-19 01:00:00)","0","16","1","[0, 13, 2, 1, 0, 0, 0, 0]"
"1","(2016-09-19 01:00:00,2016-09-19 01:20:00)","1","4","1","[0, 3, 1, 0, 0, 0, 0, 0]"
"1","(2016-09-19 01:00:00,2016-09-19 01:20:00)","0","10","1","[0, 7, 0, 0, 0, 3, 0, 0]"
"3","(2016-09-19 01:00:00,2016-09-19 01:20:00)","1","4","1","[0, 4, 0, 0, 0, 0, 0, 0]"
"3","(2016-09-19 01:00:00,2016-09-19 01:20:00)","0","17","1","[0, 16, 0, 0, 0, 1, 0, 0]"
"2","(2016-09-19 01:00:00,2016-09-19 01:20:00)","0","1","1","[0, 1, 0, 0, 0, 0, 0, 0]"
"1","(2016-09-19 01:20:00,2016-09-19 01:40:00)","1","14","2","[0, 9, 3, 0, 0, 2, 0, 0]"
"1","(2016-09-19 01:20:00,2016-09-19 01:40:00)","0","14","3","[1, 10, 1, 1, 0, 1, 0, 0]"
"3","(2016-09-19 01:20:00,2016-09-19 01:40:00)","1","5","1","[0, 4, 0, 0, 0, 1, 0, 0]"
"3","(2016-09-19 01:20:00,2016-09-19 01:40:00)","0","17","2","[0, 14, 0, 1, 0, 2, 0, 0]"
"1","(2016-09-19 01:40:00,2016-09-19 02:00:00)","1","7","1","[0, 5, 1, 1, 0, 0, 0, 0]"
"1","(2016-09-19 01:40:00,2016-09-19 02:00:00)","0","10","0","[0, 9, 0, 0, 0, 1, 0, 0]"
"3","(2016-09-19 01:40:00,2016-09-19 02:00:00)","1","4","0","[0, 3, 0, 0, 0, 1, 0, 0]"
"3","(2016-09-19 01:40:00,2016-09-19 02:00:00)","0","11","0","[0, 7, 1, 1, 0, 2, 0, 0]"
"2","(2016-09-19 01:40:00,2016-09-19 02:00:00)","0","2","2","[0, 2, 0, 0, 0, 0, 0, 0]"
"1","(2016-09-19 02:00:00,2016-09-19 02:20:00)","1","7","1","[0, 4, 1, 0, 0, 2, 0, 0]"
"1","(2016-09-19 02:00:00,2016-09-19 02:20:00)","0","7","1","[0, 3, 1, 0, 1, 2, 0, 0]"
"3","(2016-09-19 02:00:00,2016-09-19 02:20:00)","1","5","0","[0, 3, 1, 0, 0, 1, 0, 0]"
"3","(2016-09-19 02:00:00,2016-09-19 02:20:00)","0","11","0","[0, 10, 1, 0, 0, 0, 0, 0]"
"1","(2016-09-19 02:20:00,2016-09-19 02:40:00)","1","7","0","[0, 5, 0, 0, 0, 2, 0, 0]"
"1","(2016-09-19 02:20:00,2016-09-19 02:40:00)","0","10","1","[0, 3, 5, 0, 0, 2, 0, 0]"
"3","(2016-09-19 02:20:00,2016-09-19 02:40:00)","1","4","2","[0, 3, 0, 1, 0, 0, 0, 0]"
"3","(2016-09-19 02:20:00,2016-09-19 02:40:00)","0","14","0","[0, 11, 1, 2, 0, 0, 0, 0]"
"1","(2016-09-19 02:40:00,2016-09-19 03:00:00)","1","10","0","[0, 8, 1, 0, 0, 1, 0, 0]"
"1","(2016-09-19 02:40:00,2016-09-19 03:00:00)","0","6","0","[0, 0, 1, 3, 1, 1, 0, 0]"
"3","(2016-09-19 02:40:00,2016-09-19 03:00:00)","0","18","2","[0, 14, 4, 0, 0, 0, 0, 0]"
"1","(2016-09-19 03:00:00,2016-09-19 03:20:00)","1","10","0","[0, 7, 2, 1, 0, 0, 0, 0]"
"1","(2016-09-19 03:00:00,2016-09-19 03:20:00)","0","9","0","[0, 5, 2, 0, 0, 2, 0, 0]"
"3","(2016-09-19 03:00:00,2016-09-19 03:20:00)","1","5","1","[0, 3, 2, 0, 0, 0, 0, 0]"
"3","(2016-09-19 03:00:00,2016-09-19 03:20:00)","0","10","0","[0, 8, 1, 1, 0, 0, 0, 0]"
"1","(2016-09-19 03:20:00,2016-09-19 03:40:00)","1","14","0","[0, 8, 3, 0, 0, 3, 0, 0]"
"1","(2016-09-19 03:20:00,2016-09-19 03:40:00)","0","4","1","[0, 3, 0, 1, 0, 0, 0, 0]"
"3","(2016-09-19 03:20:00,2016-09-19 03:40:00)","1","3","0","[0, 2, 0, 1, 0, 0, 0, 0]"
"3","(2016-09-19 03:20:00,2016-09-19 03:40:00)","0","10","0","[0, 9, 1, 0, 0, 0, 0, 0]"
"1","(2016-09-19 03:40:00,2016-09-19 04:00:00)","1","20","2","[0, 17, 0, 1, 0, 2, 0, 0]"
"1","(2016-09-19 03:40:00,2016-09-19 04:00:00)","0","9","2","[0, 5, 1, 2, 0, 1, 0, 0]"
"3","(2016-09-19 03:40:00,2016-09-19 04:00:00)","1","10","1","[0, 5, 0, 1, 1, 3, 0, 0]"
"3","(2016-09-19 03:40:00,2016-09-19 04:00:00)","0","9","0","[0, 8, 0, 0, 0, 1, 0, 0]"
"1","(2016-09-19 04:00:00,2016-09-19 04:20:00)","1","18","0","[0, 18, 0, 0, 0, 0, 0, 0]"
"1","(2016-09-19 04:00:00,2016-09-19 04:20:00)","0","10","0","[0, 6, 2, 1, 0, 1, 0, 0]"
"3","(2016-09-19 04:00:00,2016-09-19 04:20:00)","1","4","0","[0, 3, 0, 0, 1, 0, 0, 0]"
"3","(2016-09-19 04:00:00,2016-09-19 04:20:00)","0","11","1","[0, 9, 0, 2, 0, 0, 0, 0]"
"1","(2016-09-19 04:20:00,2016-09-19 04:40:00)","1","17","2","[0, 13, 0, 1, 2, 1, 0, 0]"
"1","(2016-09-19 04:20:00,2016-09-19 04:40:00)","0","13","0","[0, 9, 2, 1, 0, 1, 0, 0]"
"3","(2016-09-19 04:20:00,2016-09-19 04:40:00)","1","7","2","[0, 5, 1, 1, 0, 0, 0, 0]"
"3","(2016-09-19 04:20:00,2016-09-19 04:40:00)","0","8","0","[0, 5, 1, 2, 0, 0, 0, 0]"
"1","(2016-09-19 04:40:00,2016-09-19 05:00:00)","1","23","0","[0, 17, 3, 2, 0, 1, 0, 0]"
"1","(2016-09-19 04:40:00,2016-09-19 05:00:00)","0","12","0","[0, 8, 2, 1, 0, 1, 0, 0]"
"3","(2016-09-19 04:40:00,2016-09-19 05:00:00)","1","3","0","[0, 0, 0, 1, 1, 1, 0, 0]"
"3","(2016-09-19 04:40:00,2016-09-19 05:00:00)","0","10","1","[0, 9, 0, 0, 0, 1, 0, 0]"
"1","(2016-09-19 05:00:00,2016-09-19 05:20:00)","1","28","3","[0, 24, 2, 0, 0, 2, 0, 0]"
"1","(2016-09-19 05:00:00,2016-09-19 05:20:00)","0","2","0","[0, 0, 2, 0, 0, 0, 0, 0]"
"3","(2016-09-19 05:00:00,2016-09-19 05:20:00)","1","11","1","[0, 4, 3, 1, 0, 3, 0, 0]"
"3","(2016-09-19 05:00:00,2016-09-19 05:20:00)","0","9","2","[0, 4, 5, 0, 0, 0, 0, 0]"
"2","(2016-09-19 05:00:00,2016-09-19 05:20:00)","0","14","1","[0, 9, 5, 0, 0, 0, 0, 0]"
"1","(2016-09-19 05:20:00,2016-09-19 05:40:00)","1","24","1","[0, 18, 4, 0, 0, 2, 0, 0]"
"1","(2016-09-19 05:20:00,2016-09-19 05:40:00)","0","8","2","[0, 6, 2, 0, 0, 0, 0, 0]"
"3","(2016-09-19 05:20:00,2016-09-19 05:40:00)","1","7","0","[0, 5, 2, 0, 0, 0, 0, 0]"
"3","(2016-09-19 05:20:00,2016-09-19 05:40:00)","0","14","1","[0, 7, 7, 0, 0, 0, 0, 0]"
"2","(2016-09-19 05:20:00,2016-09-19 05:40:00)","0","12","0","[0, 8, 4, 0, 0, 0, 0, 0]"
"1","(2016-09-19 05:40:00,2016-09-19 06:00:00)","1","34","3","[0, 24, 4, 3, 0, 3, 0, 0]"
"1","(2016-09-19 05:40:00,2016-09-19 06:00:00)","0","13","2","[0, 12, 1, 0, 0, 0, 0, 0]"
"3","(2016-09-19 05:40:00,2016-09-19 06:00:00)","1","13","3","[0, 10, 1, 2, 0, 0, 0, 0]"
"3","(2016-09-19 05:40:00,2016-09-19 06:00:00)","0","27","3","[0, 18, 9, 0, 0, 0, 0, 0]"
"2","(2016-09-19 05:40:00,2016-09-19 06:00:00)","0","21","5","[0, 14, 7, 0, 0, 0, 0, 0]"
"1","(2016-09-19 06:00:00,2016-09-19 06:20:00)","1","39","6","[0, 27, 6, 3, 1, 0, 2, 0]"
"1","(2016-09-19 06:00:00,2016-09-19 06:20:00)","0","8","2","[0, 7, 0, 1, 0, 0, 0, 0]"
